Nombre parada,Coordenada Y,Coordenada X,Nueva columna georreferenciada
Calle 65 Villas del Portal 2 Lado Oriental,10.8988,-74.803067,POINT(-74.803067 10.8988)
Calle 65 con Carrera 8 Los Loteros Lado Oriental,10.900938,-74.802592,POINT(-74.802592 10.900938)
Calle 52 con Carrera 10C1 Siete Bocas,10.904732,-74.78935,POINT(-74.78935 10.904732)
Carrera 8 con Callle 53A H. Materno Infantil Norte,10.90196,-74.789625,POINT(-74.789625 10.90196)
Calle 54 con Carrera 8B Jesus Maestro Oriente,10.902397,-74.79088,POINT(-74.79088 10.902397)
Calle 54 No. 11-18 Soledad,10.904798,-74.791417,POINT(-74.791417 10.904798)
Calle 54 con Carrera 14 El Percal Lado Oriental,10.906856,-74.791828,POINT(-74.791828 10.906856)
Calle 54 No. 14-3-110 Compraventa Express Soledad,10.910017,-74.792017,POINT(-74.792017 10.910017)
Carrera 15 con Calle 59 Barrio Pta De Oro Soledad,10.910698,-74.79516,POINT(-74.79516 10.910698)
Carrera 15 con Calle 57 Villa Linda Soledad,10.911055,-74.797862,POINT(-74.797862 10.911055)
Carrera 23B con Calle 63,10.921138,-74.79951,POINT(-74.79951 10.921138)
Carrera 23B con Calle 67B Esq Soledad,10.92109,-74.801988,POINT(-74.801988 10.92109)
Carrera 18 Sur No. 46C-04 Baq / Cra24 Cl69A Sol,10.921888,-74.803522,POINT(-74.803522 10.921888)
Carrera 18 Sur con Calle 46H Baq / Cra24 Cl72 Sol,10.922383,-74.804978,POINT(-74.804978 10.922383)
Carrera 18 Sur con Calle 47E Baq / Cra24 Cl74 Sol,10.92194,-74.806707,POINT(-74.806707 10.92194)
Calle 74 con Carrera 23A Lado Occidente Soledad,10.920968,-74.806863,POINT(-74.806863 10.920968)
Carrera 23A con Calle 75B Esq Lado Norte Soledad,10.920595,-74.808545,POINT(-74.808545 10.920595)
Carrera 23A No. 76B-14 Lado Norte Soledad,10.920482,-74.810165,POINT(-74.810165 10.920482)
Calle 77 con Carrera 23D Lado Oriente Soledad,10.92112,-74.81162,POINT(-74.81162 10.92112)
Calle 79 No. 23B-03 Soledad,10.920608,-74.812565,POINT(-74.812565 10.920608)
Calle 79 No. 21B-15 Soledad,10.919267,-74.81397,POINT(-74.81397 10.919267)
Calle 79 No. 19-15 Soledad,10.91808,-74.815215,POINT(-74.815215 10.91808)
Carrera 18 No. 80C-12 Lado Norte Soledad,10.917393,-74.817938,POINT(-74.817938 10.917393)
Calle 83 No. 17-65 Lado Occidente Soledad,10.917762,-74.819767,POINT(-74.819767 10.917762)
Calle 83 No. 15-23 Lado Occidente Soledad,10.916053,-74.820338,POINT(-74.820338 10.916053)
Carrera 12D con Calle 84 Esq Soledad,10.91442,-74.822783,POINT(-74.822783 10.91442)
Calle 85 con Carrera 13 Esq Soledad,10.915288,-74.822995,POINT(-74.822995 10.915288)
Calle 84 con Carrera 14A Soledad,10.916137,-74.822024,POINT(-74.822024 10.916137)
Carrera 16 con Calle 83A Esq Soledad,10.916793,-74.820565,POINT(-74.820565 10.916793)
Calle 83 No. 17-62 Lado Oriente Soledad,10.917722,-74.819723,POINT(-74.819723 10.917722)
Carrera 18 No. 81-29 Lado Sur Soledad,10.917537,-74.818362,POINT(-74.818362 10.917537)
Calle 81 No. 18C-46 Soledad,10.918798,-74.817343,POINT(-74.817343 10.918798)
Calle 81 No. 19A-22 Soledad,10.919723,-74.816382,POINT(-74.816382 10.919723)
Calle 81 No. 21C-26 Soledad,10.920842,-74.815188,POINT(-74.815188 10.920842)
Carrera 22B No. 79-15 Soledad,10.92014,-74.813387,POINT(-74.813387 10.92014)
Calle 77 No. 23A-07 Lado Occidente Soledad,10.920568,-74.81167,POINT(-74.81167 10.920568)
Carrera 23A No. 76-03 Lado Sur Soledad,10.920475,-74.810078,POINT(-74.810078 10.920475)
Carrera 23A No. 74C-11 Lado Sur Soledad,10.920617,-74.807818,POINT(-74.807818 10.920617)
Calle 74 con Carrera 23D Lado Oriente,10.9218,-74.80691,POINT(-74.80691 10.9218)
Carrera 15 Sur No. 47C - 39,10.922777,-74.806583,POINT(-74.806583 10.922777)
Carrera 15 Sur con Calle 46H,10.922848,-74.804888,POINT(-74.804888 10.922848)
Av. Circunvalar con Calle 45H Puente Peat. Velodro,10.923168,-74.801603,POINT(-74.801603 10.923168)
Carrera 16 Con Calle 64 Esq Pacho Galan Sur,10.914618,-74.799829,POINT(-74.799829 10.914618)
Carrera 16 con Calle 68 Esq Soledad,10.914585,-74.801387,POINT(-74.801387 10.914585)
Carrera 15 con Calle 69 Centro Salud Adela de Char,10.913761,-74.803263,POINT(-74.803263 10.913761)
Carrera 16 No. 73-26 Soledad,10.914402,-74.805789,POINT(-74.805789 10.914402)
Calle 74A con Carrera 14 Soledad,10.913403,-74.807091,POINT(-74.807091 10.913403)
Calle 76 No. 16-22 Soledad,10.914396,-74.808772,POINT(-74.808772 10.914396)
Calle 76 con Carrera 18C Esq Soledad,10.916982,-74.808981,POINT(-74.808981 10.916982)
Carrera 19 con Calle 74A Esq Soledad,10.917364,-74.807207,POINT(-74.807207 10.917364)
Carrera 19 con Calle 72B Esq Soledad,10.917501,-74.805663,POINT(-74.805663 10.917501)
Carrera 18 con Calle 70 Esq Soledad,10.916551,-74.804415,POINT(-74.804415 10.916551)
Carrera 18 No. 68C-11 Soledad,10.916902,-74.802606,POINT(-74.802606 10.916902)
Carrera 18 No. 65-15 Soledad,10.917038,-74.800371,POINT(-74.800371 10.917038)
Carrera 5 con Calle 66C Lado Norte Soledad,10.891468,-74.806688,POINT(-74.806688 10.891468)
Carrera 5 con Calle 68B Esq Lado Norte Soledad,10.891413,-74.808489,POINT(-74.808489 10.891413)
Calle 69 con Carrera 4 Soledad,10.889523,-74.808669,POINT(-74.808669 10.889523)
Carrera 4 con Calle 71A Lado Norte Soledad,10.88937,-74.810643,POINT(-74.810643 10.88937)
Diagonal 71 con Transversal 1A4 Lado Occidente,10.888093,-74.812008,POINT(-74.812008 10.888093)
Diagonal 71 con Transversal 1BSur Lado Occidente,10.886892,-74.81279,POINT(-74.81279 10.886892)
Transversal 1C sur con Diagonal 72 Cancha Don Bosc,10.887139,-74.813893,POINT(-74.813893 10.887139)
Transversal 2 sur con Diagonal 72 Esq (Panaderia),10.886447,-74.814633,POINT(-74.814633 10.886447)
Diagonal 71 con Transversal 1BSur Lado Oriente,10.88687,-74.812773,POINT(-74.812773 10.88687)
Diagonal 71 con Transversal 1A4 Lado Oriente,10.888243,-74.81185,POINT(-74.81185 10.888243)
Carrera 4 con Calle 71 Lado Sur Soledad,10.889353,-74.810478,POINT(-74.810478 10.889353)
Carrera 4 con Calle 69A Lado Sur Soledad,10.889343,-74.808878,POINT(-74.808878 10.889343)
Carrera 5 con Calle 69 Esq Lado Sur Soledad,10.891352,-74.808445,POINT(-74.808445 10.891352)
Carrera 5 con Calle 66A Lado Sur Soledad,10.891378,-74.806367,POINT(-74.806367 10.891378)
Urb. Salitre Lado Norte Soledad,10.886208,-74.806806,POINT(-74.806806 10.886208)
Urb. San Antonio Soledad,10.885832,-74.80868,POINT(-74.80868 10.885832)
Urb. Salitre Lado Sur Soledad,10.88617,-74.806858,POINT(-74.806858 10.88617)
Carrera 12 con Calle 66 Lado Norte Soledad,10.903984,-74.804235,POINT(-74.804235 10.903984)
Carrera 11C con Calle 68 Lado Norte Soledad,10.903575,-74.806412,POINT(-74.806412 10.903575)
Carrera 11C con Calle 70 Lado Norte Soledad,10.903093,-74.80875,POINT(-74.80875 10.903093)
Calle 71 con Carrera 11C Lado Oriente Soledad,10.903156,-74.810245,POINT(-74.810245 10.903156)
